month,year,date,division,cases,pop
1,2006,2006-01-01,central,0,342594
2,2006,2006-02-01,central,0,342594
3,2006,2006-03-01,central,0,342594
4,2006,2006-04-01,central,0,342594
5,2006,2006-05-01,central,0,342594
6,2006,2006-06-01,central,0,342594
7,2006,2006-07-01,central,0,342594
8,2006,2006-08-01,central,0,342594
9,2006,2006-09-01,central,3,342594
10,2006,2006-10-01,central,1,342594
11,2006,2006-11-01,central,1,342594
12,2006,2006-12-01,central,3,342594
1,2007,2007-01-01,central,4,342594
2,2007,2007-02-01,central,1,342594
3,2007,2007-03-01,central,10,342594
4,2007,2007-04-01,central,10,342594
5,2007,2007-05-01,central,17,342594
6,2007,2007-06-01,central,13,342594
7,2007,2007-07-01,central,7,342594
8,2007,2007-08-01,central,5,342594
9,2007,2007-09-01,central,6,342594
10,2007,2007-10-01,central,6,342594
11,2007,2007-11-01,central,4,342594
12,2007,2007-12-01,central,6,342594
1,2008,2008-01-01,central,9,346149.4
2,2008,2008-02-01,central,4,346149.4
3,2008,2008-03-01,central,0,346149.4
4,2008,2008-04-01,central,0,346149.4
5,2008,2008-05-01,central,0,346149.4
6,2008,2008-06-01,central,0,346149.4
7,2008,2008-07-01,central,0,346149.4
8,2008,2008-08-01,central,0,346149.4
9,2008,2008-09-01,central,2,346149.4
10,2008,2008-10-01,central,0,346149.4
11,2008,2008-11-01,central,0,346149.4
12,2008,2008-12-01,central,0,346149.4
1,2009,2009-01-01,central,16,349704.8
2,2009,2009-02-01,central,11,349704.8
3,2009,2009-03-01,central,11,349704.8
4,2009,2009-04-01,central,12,349704.8
5,2009,2009-05-01,central,14,349704.8
6,2009,2009-06-01,central,5,349704.8
7,2009,2009-07-01,central,2,349704.8
8,2009,2009-08-01,central,1,349704.8
9,2009,2009-09-01,central,0,349704.8
10,2009,2009-10-01,central,0,349704.8
11,2009,2009-11-01,central,0,349704.8
12,2009,2009-12-01,central,0,349704.8
1,2010,2010-01-01,central,0,353260.2
2,2010,2010-02-01,central,1,353260.2
3,2010,2010-03-01,central,0,353260.2
4,2010,2010-04-01,central,0,353260.2
5,2010,2010-05-01,central,0,353260.2
6,2010,2010-06-01,central,0,353260.2
7,2010,2010-07-01,central,0,353260.2
8,2010,2010-08-01,central,0,353260.2
9,2010,2010-09-01,central,1,353260.2
10,2010,2010-10-01,central,0,353260.2
11,2010,2010-11-01,central,0,353260.2
12,2010,2010-12-01,central,1,353260.2
1,2011,2011-01-01,central,3,356815.6
2,2011,2011-02-01,central,5,356815.6
3,2011,2011-03-01,central,1,356815.6
4,2011,2011-04-01,central,1,356815.6
5,2011,2011-05-01,central,11,356815.6
6,2011,2011-06-01,central,6,356815.6
7,2011,2011-07-01,central,5,356815.6
8,2011,2011-08-01,central,3,356815.6
9,2011,2011-09-01,central,0,356815.6
10,2011,2011-10-01,central,1,356815.6
11,2011,2011-11-01,central,0,356815.6
12,2011,2011-12-01,central,5,356815.6
1,2012,2012-01-01,central,6,360371
2,2012,2012-02-01,central,7,360371
3,2012,2012-03-01,central,7,360371
4,2012,2012-04-01,central,19,360371
5,2012,2012-05-01,central,18,360371
6,2012,2012-06-01,central,20,360371
7,2012,2012-07-01,central,8,360371
8,2012,2012-08-01,central,7,360371
9,2012,2012-09-01,central,9,360371
10,2012,2012-10-01,central,15,360371
11,2012,2012-11-01,central,7,360371
12,2012,2012-12-01,central,15,360371
1,2013,2013-01-01,central,18,363926.4
2,2013,2013-02-01,central,19,363926.4
3,2013,2013-03-01,central,10,363926.4
4,2013,2013-04-01,central,0,363926.4
5,2013,2013-05-01,central,5,363926.4
6,2013,2013-06-01,central,3,363926.4
7,2013,2013-07-01,central,5,363926.4
8,2013,2013-08-01,central,0,363926.4
9,2013,2013-09-01,central,1,363926.4
10,2013,2013-10-01,central,2,363926.4
11,2013,2013-11-01,central,1,363926.4
12,2013,2013-12-01,central,2,363926.4
1,2014,2014-01-01,central,1,367481.8
2,2014,2014-02-01,central,1,367481.8
3,2014,2014-03-01,central,9,367481.8
4,2014,2014-04-01,central,0,367481.8
5,2014,2014-05-01,central,19,367481.8
6,2014,2014-06-01,central,0,367481.8
7,2014,2014-07-01,central,4,367481.8
8,2014,2014-08-01,central,0,367481.8
9,2014,2014-09-01,central,0,367481.8
10,2014,2014-10-01,central,1,367481.8
11,2014,2014-11-01,central,0,367481.8
12,2014,2014-12-01,central,1,367481.8
1,2015,2015-01-01,central,10,371037.2
2,2015,2015-02-01,central,6,371037.2
3,2015,2015-03-01,central,7,371037.2
4,2015,2015-04-01,central,4,371037.2
5,2015,2015-05-01,central,5,371037.2
6,2015,2015-06-01,central,7,371037.2
7,2015,2015-07-01,central,20,371037.2
8,2015,2015-08-01,central,8,371037.2
9,2015,2015-09-01,central,1,371037.2
10,2015,2015-10-01,central,0,371037.2
11,2015,2015-11-01,central,0,371037.2
12,2015,2015-12-01,central,0,371037.2
1,2016,2016-01-01,central,11,374592.6
2,2016,2016-02-01,central,5,374592.6
3,2016,2016-03-01,central,30,374592.6
4,2016,2016-04-01,central,23,374592.6
5,2016,2016-05-01,central,22,374592.6
6,2016,2016-06-01,central,7,374592.6
7,2016,2016-07-01,central,22,374592.6
8,2016,2016-08-01,central,25,374592.6
9,2016,2016-09-01,central,14,374592.6
10,2016,2016-10-01,central,5,374592.6
11,2016,2016-11-01,central,7,374592.6
12,2016,2016-12-01,central,4,374592.6
1,2017,2017-01-01,central,19,378148
2,2017,2017-02-01,central,80,378148
3,2017,2017-03-01,central,109,378148
4,2017,2017-04-01,central,83,378148
5,2017,2017-05-01,central,81,378148
6,2017,2017-06-01,central,18,378148
7,2017,2017-07-01,central,2,378148
8,2017,2017-08-01,central,7,378148
9,2017,2017-09-01,central,14,378148
10,2017,2017-10-01,central,13,378148
11,2017,2017-11-01,central,18,378148
12,2017,2017-12-01,central,17,378148
1,2006,2006-01-01,western,2,319611
2,2006,2006-02-01,western,3,319611
3,2006,2006-03-01,western,4,319611
4,2006,2006-04-01,western,2,319611
5,2006,2006-05-01,western,6,319611
6,2006,2006-06-01,western,5,319611
7,2006,2006-07-01,western,5,319611
8,2006,2006-08-01,western,2,319611
9,2006,2006-09-01,western,1,319611
10,2006,2006-10-01,western,1,319611
11,2006,2006-11-01,western,0,319611
12,2006,2006-12-01,western,0,319611
1,2007,2007-01-01,western,5,319611
2,2007,2007-02-01,western,7,319611
3,2007,2007-03-01,western,25,319611
4,2007,2007-04-01,western,9,319611
5,2007,2007-05-01,western,6,319611
6,2007,2007-06-01,western,5,319611
7,2007,2007-07-01,western,5,319611
8,2007,2007-08-01,western,7,319611
9,2007,2007-09-01,western,3,319611
10,2007,2007-10-01,western,0,319611
11,2007,2007-11-01,western,5,319611
12,2007,2007-12-01,western,1,319611
1,2008,2008-01-01,western,6,321357
2,2008,2008-02-01,western,2,321357
3,2008,2008-03-01,western,0,321357
4,2008,2008-04-01,western,0,321357
5,2008,2008-05-01,western,0,321357
6,2008,2008-06-01,western,0,321357
7,2008,2008-07-01,western,0,321357
8,2008,2008-08-01,western,0,321357
9,2008,2008-09-01,western,0,321357
10,2008,2008-10-01,western,0,321357
11,2008,2008-11-01,western,0,321357
12,2008,2008-12-01,western,0,321357
1,2009,2009-01-01,western,7,323103
2,2009,2009-02-01,western,7,323103
3,2009,2009-03-01,western,2,323103
4,2009,2009-04-01,western,3,323103
5,2009,2009-05-01,western,0,323103
6,2009,2009-06-01,western,0,323103
7,2009,2009-07-01,western,0,323103
8,2009,2009-08-01,western,0,323103
9,2009,2009-09-01,western,0,323103
10,2009,2009-10-01,western,0,323103
11,2009,2009-11-01,western,0,323103
12,2009,2009-12-01,western,0,323103
1,2010,2010-01-01,western,0,324849
2,2010,2010-02-01,western,0,324849
3,2010,2010-03-01,western,0,324849
4,2010,2010-04-01,western,1,324849
5,2010,2010-05-01,western,0,324849
6,2010,2010-06-01,western,0,324849
7,2010,2010-07-01,western,0,324849
8,2010,2010-08-01,western,1,324849
9,2010,2010-09-01,western,0,324849
10,2010,2010-10-01,western,0,324849
11,2010,2010-11-01,western,0,324849
12,2010,2010-12-01,western,0,324849
1,2011,2011-01-01,western,0,326595
2,2011,2011-02-01,western,1,326595
3,2011,2011-03-01,western,7,326595
4,2011,2011-04-01,western,6,326595
5,2011,2011-05-01,western,1,326595
6,2011,2011-06-01,western,2,326595
7,2011,2011-07-01,western,1,326595
8,2011,2011-08-01,western,0,326595
9,2011,2011-09-01,western,0,326595
10,2011,2011-10-01,western,1,326595
11,2011,2011-11-01,western,1,326595
12,2011,2011-12-01,western,2,326595
1,2012,2012-01-01,western,9,328341
2,2012,2012-02-01,western,79,328341
3,2012,2012-03-01,western,76,328341
4,2012,2012-04-01,western,70,328341
5,2012,2012-05-01,western,27,328341
6,2012,2012-06-01,western,13,328341
7,2012,2012-07-01,western,11,328341
8,2012,2012-08-01,western,0,328341
9,2012,2012-09-01,western,7,328341
10,2012,2012-10-01,western,8,328341
11,2012,2012-11-01,western,4,328341
12,2012,2012-12-01,western,7,328341
1,2013,2013-01-01,western,15,330087
2,2013,2013-02-01,western,22,330087
3,2013,2013-03-01,western,62,330087
4,2013,2013-04-01,western,50,330087
5,2013,2013-05-01,western,28,330087
6,2013,2013-06-01,western,11,330087
7,2013,2013-07-01,western,9,330087
8,2013,2013-08-01,western,11,330087
9,2013,2013-09-01,western,19,330087
10,2013,2013-10-01,western,28,330087
11,2013,2013-11-01,western,21,330087
12,2013,2013-12-01,western,30,330087
1,2014,2014-01-01,western,15,331833
2,2014,2014-02-01,western,11,331833
3,2014,2014-03-01,western,2,331833
4,2014,2014-04-01,western,0,331833
5,2014,2014-05-01,western,12,331833
6,2014,2014-06-01,western,0,331833
7,2014,2014-07-01,western,5,331833
8,2014,2014-08-01,western,0,331833
9,2014,2014-09-01,western,5,331833
10,2014,2014-10-01,western,10,331833
11,2014,2014-11-01,western,2,331833
12,2014,2014-12-01,western,3,331833
1,2015,2015-01-01,western,7,333579
2,2015,2015-02-01,western,5,333579
3,2015,2015-03-01,western,5,333579
4,2015,2015-04-01,western,9,333579
5,2015,2015-05-01,western,6,333579
6,2015,2015-06-01,western,9,333579
7,2015,2015-07-01,western,8,333579
8,2015,2015-08-01,western,3,333579
9,2015,2015-09-01,western,1,333579
10,2015,2015-10-01,western,0,333579
11,2015,2015-11-01,western,1,333579
12,2015,2015-12-01,western,1,333579
1,2016,2016-01-01,western,19,335325
2,2016,2016-02-01,western,4,335325
3,2016,2016-03-01,western,35,335325
4,2016,2016-04-01,western,26,335325
5,2016,2016-05-01,western,16,335325
6,2016,2016-06-01,western,14,335325
7,2016,2016-07-01,western,23,335325
8,2016,2016-08-01,western,14,335325
9,2016,2016-09-01,western,19,335325
10,2016,2016-10-01,western,15,335325
11,2016,2016-11-01,western,10,335325
12,2016,2016-12-01,western,27,335325
1,2017,2017-01-01,western,47,337071
2,2017,2017-02-01,western,63,337071
3,2017,2017-03-01,western,108,337071
4,2017,2017-04-01,western,68,337071
5,2017,2017-05-01,western,51,337071
6,2017,2017-06-01,western,20,337071
7,2017,2017-07-01,western,5,337071
8,2017,2017-08-01,western,18,337071
9,2017,2017-09-01,western,6,337071
10,2017,2017-10-01,western,33,337071
11,2017,2017-11-01,western,6,337071
12,2017,2017-12-01,western,3,337071
1,2006,2006-01-01,northern,0,135961
2,2006,2006-02-01,northern,0,135961
3,2006,2006-03-01,northern,0,135961
4,2006,2006-04-01,northern,1,135961
5,2006,2006-05-01,northern,0,135961
6,2006,2006-06-01,northern,1,135961
7,2006,2006-07-01,northern,0,135961
8,2006,2006-08-01,northern,8,135961
9,2006,2006-09-01,northern,3,135961
10,2006,2006-10-01,northern,6,135961
11,2006,2006-11-01,northern,2,135961
12,2006,2006-12-01,northern,13,135961
1,2007,2007-01-01,northern,2,135961
2,2007,2007-02-01,northern,5,135961
3,2007,2007-03-01,northern,5,135961
4,2007,2007-04-01,northern,30,135961
5,2007,2007-05-01,northern,28,135961
6,2007,2007-06-01,northern,1,135961
7,2007,2007-07-01,northern,2,135961
8,2007,2007-08-01,northern,18,135961
9,2007,2007-09-01,northern,18,135961
10,2007,2007-10-01,northern,9,135961
11,2007,2007-11-01,northern,3,135961
12,2007,2007-12-01,northern,2,135961
1,2008,2008-01-01,northern,6,135556.7
2,2008,2008-02-01,northern,2,135556.7
3,2008,2008-03-01,northern,0,135556.7
4,2008,2008-04-01,northern,0,135556.7
5,2008,2008-05-01,northern,0,135556.7
6,2008,2008-06-01,northern,1,135556.7
7,2008,2008-07-01,northern,0,135556.7
8,2008,2008-08-01,northern,1,135556.7
9,2008,2008-09-01,northern,0,135556.7
10,2008,2008-10-01,northern,0,135556.7
11,2008,2008-11-01,northern,0,135556.7
12,2008,2008-12-01,northern,0,135556.7
1,2009,2009-01-01,northern,3,135152.4
2,2009,2009-02-01,northern,9,135152.4
3,2009,2009-03-01,northern,10,135152.4
4,2009,2009-04-01,northern,20,135152.4
5,2009,2009-05-01,northern,5,135152.4
6,2009,2009-06-01,northern,1,135152.4
7,2009,2009-07-01,northern,0,135152.4
8,2009,2009-08-01,northern,0,135152.4
9,2009,2009-09-01,northern,0,135152.4
10,2009,2009-10-01,northern,0,135152.4
11,2009,2009-11-01,northern,0,135152.4
12,2009,2009-12-01,northern,0,135152.4
1,2010,2010-01-01,northern,0,134748.1
2,2010,2010-02-01,northern,0,134748.1
3,2010,2010-03-01,northern,0,134748.1
4,2010,2010-04-01,northern,0,134748.1
5,2010,2010-05-01,northern,0,134748.1
6,2010,2010-06-01,northern,0,134748.1
7,2010,2010-07-01,northern,0,134748.1
8,2010,2010-08-01,northern,0,134748.1
9,2010,2010-09-01,northern,0,134748.1
10,2010,2010-10-01,northern,0,134748.1
11,2010,2010-11-01,northern,0,134748.1
12,2010,2010-12-01,northern,0,134748.1
1,2011,2011-01-01,northern,0,134343.8
2,2011,2011-02-01,northern,3,134343.8
3,2011,2011-03-01,northern,2,134343.8
4,2011,2011-04-01,northern,0,134343.8
5,2011,2011-05-01,northern,2,134343.8
6,2011,2011-06-01,northern,2,134343.8
7,2011,2011-07-01,northern,0,134343.8
8,2011,2011-08-01,northern,0,134343.8
9,2011,2011-09-01,northern,0,134343.8
10,2011,2011-10-01,northern,0,134343.8
11,2011,2011-11-01,northern,0,134343.8
12,2011,2011-12-01,northern,3,134343.8
1,2012,2012-01-01,northern,1,133939.5
2,2012,2012-02-01,northern,3,133939.5
3,2012,2012-03-01,northern,1,133939.5
4,2012,2012-04-01,northern,2,133939.5
5,2012,2012-05-01,northern,5,133939.5
6,2012,2012-06-01,northern,5,133939.5
7,2012,2012-07-01,northern,3,133939.5
8,2012,2012-08-01,northern,1,133939.5
9,2012,2012-09-01,northern,3,133939.5
10,2012,2012-10-01,northern,1,133939.5
11,2012,2012-11-01,northern,0,133939.5
12,2012,2012-12-01,northern,3,133939.5
1,2013,2013-01-01,northern,7,133535.2
2,2013,2013-02-01,northern,8,133535.2
3,2013,2013-03-01,northern,10,133535.2
4,2013,2013-04-01,northern,5,133535.2
5,2013,2013-05-01,northern,3,133535.2
6,2013,2013-06-01,northern,1,133535.2
7,2013,2013-07-01,northern,0,133535.2
8,2013,2013-08-01,northern,2,133535.2
9,2013,2013-09-01,northern,0,133535.2
10,2013,2013-10-01,northern,1,133535.2
11,2013,2013-11-01,northern,0,133535.2
12,2013,2013-12-01,northern,3,133535.2
1,2014,2014-01-01,northern,4,133130.9
2,2014,2014-02-01,northern,5,133130.9
3,2014,2014-03-01,northern,3,133130.9
4,2014,2014-04-01,northern,0,133130.9
5,2014,2014-05-01,northern,4,133130.9
6,2014,2014-06-01,northern,0,133130.9
7,2014,2014-07-01,northern,1,133130.9
8,2014,2014-08-01,northern,0,133130.9
9,2014,2014-09-01,northern,1,133130.9
10,2014,2014-10-01,northern,1,133130.9
11,2014,2014-11-01,northern,1,133130.9
12,2014,2014-12-01,northern,0,133130.9
1,2015,2015-01-01,northern,0,132726.6
2,2015,2015-02-01,northern,18,132726.6
3,2015,2015-03-01,northern,11,132726.6
4,2015,2015-04-01,northern,4,132726.6
5,2015,2015-05-01,northern,4,132726.6
6,2015,2015-06-01,northern,5,132726.6
7,2015,2015-07-01,northern,0,132726.6
8,2015,2015-08-01,northern,7,132726.6
9,2015,2015-09-01,northern,7,132726.6
10,2015,2015-10-01,northern,0,132726.6
11,2015,2015-11-01,northern,6,132726.6
12,2015,2015-12-01,northern,7,132726.6
1,2016,2016-01-01,northern,13,132322.3
2,2016,2016-02-01,northern,6,132322.3
3,2016,2016-03-01,northern,17,132322.3
4,2016,2016-04-01,northern,28,132322.3
5,2016,2016-05-01,northern,58,132322.3
6,2016,2016-06-01,northern,9,132322.3
7,2016,2016-07-01,northern,24,132322.3
8,2016,2016-08-01,northern,20,132322.3
9,2016,2016-09-01,northern,16,132322.3
10,2016,2016-10-01,northern,17,132322.3
11,2016,2016-11-01,northern,23,132322.3
12,2016,2016-12-01,northern,31,132322.3
1,2017,2017-01-01,northern,35,131918
2,2017,2017-02-01,northern,50,131918
3,2017,2017-03-01,northern,117,131918
4,2017,2017-04-01,northern,65,131918
5,2017,2017-05-01,northern,53,131918
6,2017,2017-06-01,northern,35,131918
7,2017,2017-07-01,northern,11,131918
8,2017,2017-08-01,northern,16,131918
9,2017,2017-09-01,northern,12,131918
10,2017,2017-10-01,northern,48,131918
11,2017,2017-11-01,northern,29,131918
12,2017,2017-12-01,northern,56,131918
